,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,123,363580,KODEX 200IT TR,-10385,5,-85,-0.81,1552,18042,+16490,+1062.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,124,238090,앤디포스,-3310,5,-130,-3.78,38656,54125,+15469,+40.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,125,419890,히어로즈 단기채권ESG액티브,+109495,2,+80,+0.07,15008,30000,+14992,+99.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,126,382900,범한퓨얼셀,+13810,2,+210,+1.54,16598,31493,+14895,+89.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,127,300610,TIGER K게임,+7520,2,+80,+1.08,16614,31292,+14678,+88.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,128,494890,KODEX 200액티브,-9555,5,-30,-0.31,760,15389,+14629,+1924.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,129,530102,삼성 인버스 2X 천연가스 선물 ETN C,+72760,2,+5945,+8.90,89842,104446,+14604,+16.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,130,530088,삼성 레버리지 KRX 2차전지 K-뉴딜 ETN,+1587,2,+4,+0.25,46114,60587,+14473,+31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,131,530104,삼성 레버리지 코스피200 선물 ETN,-24620,5,-75,-0.30,3236,16753,+13517,+417.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,132,338100,NH프라임리츠,-4380,5,-285,-6.11,99099,112581,+13482,+13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,133,570098,한투 S&P 레버리지 엔달러 선물 ETN(H),+7595,2,+60,+0.80,29421,42507,+13086,+44.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,134,497880,SOL CD금리&머니마켓액티브,+50070,2,+15,+0.03,55699,68602,+12903,+23.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,135,139220,TIGER 200 건설,+2870,2,+15,+0.53,145099,157591,+12492,+8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,136,407400,꿈비,-5820,5,-170,-2.84,93192,104941,+11749,+12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,137,031860,에스유홀딩스,+913,2,+25,+2.82,27879,39609,+11730,+42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,138,445360,비엔케이제1호스팩,-2070,5,-5,-0.24,5022,16188,+11166,+222.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,139,101000,KS인더스트리,+2175,2,+35,+1.64,102025,112722,+10697,+10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
